sender,whatsapp.text.body
642fd1655a070f5de10b6621,"With regards to the 20% amount, will confirm with Viswa and share an update by Monday sir"
63d15c437864c9a541aa5065,thanks
63d15c437864c9a541aa5065,all good
63d15c437864c9a541aa5065,yes
642fd1655a070f5de10b6621,"Thanks for your confirmation, I believe I have provided clarity on all queries that you had"
642fd1655a070f5de10b6621,Business Name\nBusiness Website\nYour Name\nYour Mobile Number (The number should not be associated with any other WhatsApp Account)\nWork Email
642fd1655a070f5de10b6621,"Information needed:\n• Company Website (must match the information provided in the Business Manager)\n• Company Facebook Page\n• The phone number(s) you want to apply\n• Facebook Business Manager ID where the WhatsApp Business API account is registered\n• If the business is known under any other name, please provide those names\n• If the business name is in a language other than English, please provide their business name in the source language\n• Short description of the company's products and services, market reach, revenue and client base. This information is purely to demonstrate to WhatsApp that the company is a well known global brand. The more detail you give, the better chance of approval.\n• Please share at least 5 links of media coverage about the company (articles in newspapers, websites, magazines, etc. Needs to be from well-recognized media sources, blog posts from small websites or from your company’s website will not be accepted. Social media pages and paid promotion content are also invalid)\nImportant notes:\nThe display name currently approved to the account will be the one with the OBA and cannot be changed. Please double check if it is correct and if needed, request a display name update before filing the OBA request.\nPlease note that 360dialog cannot guarantee that any account will be promoted to an Official Business Account. The review process is conducted by the WhatsApp API Support Team and can take up to 7 days.\nIf your application is successful, the account will be upgraded automatically so there will be no further action required"
642fd1655a070f5de10b6621,Requesting you to join the meeting sir
642fd1655a070f5de10b6621,Please use the above link for our meeting sir
642fd1655a070f5de10b6621,https://us04web.zoom.us/j/76627059315?pwd=H7v1K0XK6g5vzMtC454Be4D5taVyue.1
662f640d03cfcb878f6f4bae,
662f640d03cfcb878f6f4bae,
662f640d03cfcb878f6f4bae,Okay sure !
63d15c437864c9a541aa5065,6:30?
662f640d03cfcb878f6f4bae,Can we schedule a call today at 4.30 Pm?
662f640d03cfcb878f6f4bae,Can we get connected by 4.30 Pm IST today?
63d15c437864c9a541aa5065,Now?
662f640d03cfcb878f6f4bae,"Hello sir, can we connect on a call today?"
6181094ebcc30500042878aa,
662f640d03cfcb878f6f4bae,"Sorry sir for the inconvenience  , can we get connected on  tomorrow ?"
662f640d03cfcb878f6f4bae,Thank you sir !
63d15c437864c9a541aa5065,Sure
662f640d03cfcb878f6f4bae,"Apologies for the delay, sir. Can we connect on Monday in the first half?"
63d15c437864c9a541aa5065,?
662f640d03cfcb878f6f4bae,How can we help you?
662f640d03cfcb878f6f4bae,"Greetings , Thank you for reaching Gallabox"
63d15c437864c9a541aa5065,Hello
6181094ebcc30500042878aa,
63d15c437864c9a541aa5065,??
63d15c437864c9a541aa5065,Can you arrange a call
6181094ebcc30500042878aa,
6181094ebcc30500042878aa,https://developers.facebook.com/docs/whatsapp/messaging-limits
63d15c437864c9a541aa5065,
6181094ebcc30500042878aa,Yes
63d15c437864c9a541aa5065,today is renewal
63d15c437864c9a541aa5065,Ok
6181094ebcc30500042878aa,we will generate a bill for you & you can send invoice to us
6181094ebcc30500042878aa,Yes Sir
63d15c437864c9a541aa5065,Am i talking with vishwa
63d15c437864c9a541aa5065,How it will be done ??
6181094ebcc30500042878aa,"Sir, when a new Account is created. we can reduce 20%. but in on going Account we cannot reduce. we need to do it manually only sir"
63d15c437864c9a541aa5065,Reduce 20%
63d15c437864c9a541aa5065,Can you bill to me
6181094ebcc30500042878aa,"Sir, Automatically will raise today sir"
63d15c437864c9a541aa5065,Under my referral
63d15c437864c9a541aa5065,Growth plan\nOne year
63d15c437864c9a541aa5065,admin@threoshealthcare.com\nThreos@Cheat19
63d15c437864c9a541aa5065,Pls raise invoice for
6181094ebcc30500042878aa,Hello Sir
63d15c437864c9a541aa5065,Hi
6181094ebcc30500042878aa,"Good Morning Sir,\n\nCould you please Check now"
63d15c437864c9a541aa5065,
63d15c437864c9a541aa5065,Paid \nWill not active ??
63d15c437864c9a541aa5065,
6181094ebcc30500042878aa,"Thanks Sir, will update in your account Soon"
63d15c437864c9a541aa5065,paid
6181094ebcc30500042878aa,try this link sir
6181094ebcc30500042878aa,https://rzp.io/i/hrKMuvW
6181094ebcc30500042878aa,
63d15c437864c9a541aa5065,Your card has been declined.
6181094ebcc30500042878aa,https://invoice.stripe.com/i/acct_1IqzbxSHpkG6VDmE/live_YWNjdF8xSXF6YnhTSHBrRzZWRG1FLF9ROGt2R0FWWlBYcUtTSkZscHNDT0hpVnRVakYxT3BpLDEwNjc0MTcwNw0200W3syeswk?s=db
6181094ebcc30500042878aa,
6181094ebcc30500042878aa,https://invoice.stripe.com/i/acct_1IqzbxSHpkG6VDmE/live_YWNjdF8xSXF6YnhTSHBrRzZWRG1FLF9ROGZXdnNCRmlIOWk4TVBET0UwblBsdEJiQmtRNE9NLDEwNjcyMTQ0Ng0200ndcy9ccU?s=ap
6181094ebcc30500042878aa,Will share you new link now
6181094ebcc30500042878aa,Good Morning Sir
63d15c437864c9a541aa5065,Link is void
6181094ebcc30500042878aa,You can pay using this link Sir
6181094ebcc30500042878aa,https://invoice.stripe.com/i/acct_1IqzbxSHpkG6VDmE/live_YWNjdF8xSXF6YnhTSHBrRzZWRG1FLF9RN3l6M2Q1U2JTTzlZbVJWcjZiSGhsb0xjUXNlQzcxLDEwNjU2MzIyMg0200tnPoxlF0?s=ap
63d15c437864c9a541aa5065,How should I make payment for my referral\nPls share details
6181094ebcc30500042878aa,Post 5 successfull referral will give you the demo account sir
63d15c437864c9a541aa5065,How about a demo account for my primary account
63d15c437864c9a541aa5065,Okay
6181094ebcc30500042878aa,"Spoke to Finance, commission for the existing account is very difficult. But when they renew we will consider and process further."
6181094ebcc30500042878aa,Yes It will be counter under your Account
63d15c437864c9a541aa5065,Invoice has been generated\nShould I pay\nWill it be counted under my referral
63d15c437864c9a541aa5065,Ok
6181094ebcc30500042878aa,Sure
6181094ebcc30500042878aa,today sir
63d15c437864c9a541aa5065,Mankandan is not a direct client he is my teammate
63d15c437864c9a541aa5065,When can I get update
63d15c437864c9a541aa5065,Yes\nFor one of our client
6181094ebcc30500042878aa,Manikandan wants to go for quarterly plan
6181094ebcc30500042878aa,Waiting for update sir
63d15c437864c9a541aa5065,New account
63d15c437864c9a541aa5065,Demo account\nOld renewal
63d15c437864c9a541aa5065,Need to get started
63d15c437864c9a541aa5065,Hi\nAny update on our discussion??
6181094ebcc30500042878aa,
6181094ebcc30500042878aa,
63d15c437864c9a541aa5065,My Primary Email ID: mohit@mjsolutions.in (For Demo & Credit)\n\n\n**My Referral:**\nadmin@threoshealthcare.com\ninfo@vignesharavindtransports.com\ndevansh@vandyssnacks.com\nsupport@mobilezoneindia.com
63d15c437864c9a541aa5065,mohit@Mjsolutions.in
6181094ebcc30500042878aa,Is this your Account Sir?
63d15c437864c9a541aa5065,admin@threoshealthcare.com
6181094ebcc30500042878aa,Share me the Gallabox Mail ID here Sir
6181094ebcc30500042878aa,"Good Morning Sir,\n\nLet me know when can I call you"
6181094ebcc30500042878aa,"Sir, can I call you Now"
63d15c437864c9a541aa5065,Sure
6181094ebcc30500042878aa,"I have tried to reach you now, but no response. Please let me know when can I call you back"
6181094ebcc30500042878aa,Good Morning Sir
63d15c437864c9a541aa5065,Awaited....
63d15c437864c9a541aa5065,ok
6181094ebcc30500042878aa,Will call you please wait Sir
63d15c437864c9a541aa5065,
63d15c437864c9a541aa5065,i have 3/4 clients right ow
63d15c437864c9a541aa5065,How can i get started
6181094ebcc30500042878aa,
6181094ebcc30500042878aa,Sure Sir
63d15c437864c9a541aa5065,i want to know about partner program
63d15c437864c9a541aa5065,Hi
6181094ebcc30500042878aa,
642cfb3c30731b44ce654373,
6046325a89edd20004cd9162,
6046325a89edd20004cd9162,
6046325a89edd20004cd9162,
6046325a89edd20004cd9162,
6046325a89edd20004cd9162,
6046325a89edd20004cd9162,
6046325a89edd20004cd9162,
642cfb3c30731b44ce654373,
63d15c437864c9a541aa5065,
63d15c437864c9a541aa5065,HI
63d15c437864c9a541aa5065,Can u add another ID in cc
63d15c437864c9a541aa5065,Ok\nThanks
6181094ebcc30500042878aa,I have raised a ticket to the concern team. will update you soon
63d15c437864c9a541aa5065,Work Email ID: **info@vignesharavindtransports.com**
6181094ebcc30500042878aa,Share me Gallabox Login Mail ID Sir
63d15c437864c9a541aa5065,Pls help me
63d15c437864c9a541aa5065,Hi\nMorning
6181094ebcc30500042878aa,Good Morning Mohit Jain
63d15c437864c9a541aa5065,
642cfb3c30731b44ce654373,
642cfb3c30731b44ce654373,Can we connect over meeting?
642cfb3c30731b44ce654373,The number is deleted.\nCan you trigger the otp?
6181094ebcc30500042878aa,
63d15c437864c9a541aa5065,check now
6181094ebcc30500042878aa,It is available on Business Whatsapp
6181094ebcc30500042878aa,
63d15c437864c9a541aa5065,Can you check.
63d15c437864c9a541aa5065,I have deleted it
6181094ebcc30500042878aa,Number is available on the business Account. You need to delete & then try after 5 minutes
63d15c437864c9a541aa5065,same issue
6181094ebcc30500042878aa,Try once Sir
63d15c437864c9a541aa5065,
63d15c437864c9a541aa5065,ok
6181094ebcc30500042878aa,Try Now Sir
63d15c437864c9a541aa5065,Business Name: Vignesh Aravind Transports\nWebsite:  www.vignesharavindtransports.com \nReg. Mobile Number:  8124549999\nWA Number: 96776 19999\n\nWork Email ID: **info@vignesharavindtransports.com**
6181094ebcc30500042878aa,Share me your Gallabox Mail ID
63d15c437864c9a541aa5065,same issue
63d15c437864c9a541aa5065,"Yes, now its a WA number"
6181094ebcc30500042878aa,Its has to be your Whatsapp number
6181094ebcc30500042878aa,Refresh & try now
63d15c437864c9a541aa5065,
63d15c437864c9a541aa5065,facing this error
63d15c437864c9a541aa5065,Hi
6181094ebcc30500042878aa,Good Noon
6181094ebcc30500042878aa,Hello Mohit Jain
653f6ece53dc5f0c5be015db,"It's been quite for a while, your session has expired"
653f6ece53dc5f0c5be015db,"Hello! 👋 Welcome to Gallabox, your go-to platform for no-code conversational commerce. I'm here to guide you through our offerings and answer any questions you may have. Whether you're a small business or a medium-sized enterprise, we have solutions tailored for you. To get started, let me know what specific features or benefits you're interested in, or ask me anything about Gallabox!"
63d15c437864c9a541aa5065,hi
6046325a89edd20004cd9162,
